date,neural net|0,neural net|1,neural net|2,neural net|3,neural net|4,neural net|5,neural net|6,neural net|7,neural net|8,neural net|9,neural net|10,neural net|11,neural net|12,neural net|13,neural net|14,neural net|15,neural net|16,neural net|17,neural net|18,neural net|19,neural net|20,neural net|21,neural net|22,neural net|23
2017-11-11,717.91046,668.37823,680.2112,686.90656,679.6439999999999,569.9886,560.4651,540.6744,530.87756,639.25867,647.1556400000002,740.7488,724.9566,680.54877,654.4247,722.87445,637.8543,655.2758,591.5087,600.2035,645.3288,537.47565,573.5773,660.25885
2017-11-12,711.2180000000002,678.86743,660.6481,742.68976,690.21704,728.24194,826.0658,765.5378,755.5060000000002,641.1241,729.90283,745.63,711.0336,705.81476,720.41235,652.83673,665.64594,629.17865,691.3692,744.9652,743.1586,762.9321,723.9438,708.8939999999999
2017-11-13,729.52997,693.2703,659.14484,673.3066,681.8276,731.2773,744.61127,676.2689999999999,675.0558,617.4732,633.7583,637.4684,637.8778,606.5951,694.57007,689.2774,636.0116,624.0329,571.8454,666.68665,680.2107,697.6962,683.5858,634.3127
2017-11-14,649.0458,627.45825,666.87714,603.2219,647.7629,623.51917,590.6042,554.6003,562.6369,648.27405,616.9924,573.4408,621.37305,691.2325400000002,784.75464,666.80206,676.9942,596.34985,670.6965,636.8433,726.9561,710.1076,718.2703,644.3862
2017-11-15,673.60205,673.00604,677.0018299999998,762.559,713.4758,664.7029,614.12994,583.8827,592.6948,521.91187,550.4019,552.485,673.73627,783.1373,790.9274,741.0334,776.41583,747.9402,786.23755,787.5677,693.0342,721.8069,680.0938,743.59106
2017-11-16,758.8418,744.3466,704.2663,670.7262,690.18677,698.5706,693.5276,535.91766,556.0086,624.6077,567.1191,652.18713,691.67615,608.8227,598.19885,672.4194,666.9751,679.7039,683.3087,664.3265,651.16327,688.2914400000002,674.4483,683.2262599999998
2017-11-17,708.4449,643.1376,654.83276,736.9239,694.7578,565.3155,535.7040000000002,609.3333,642.4317,662.19696,613.2950400000002,676.67175,761.0465,696.66974,820.2439,764.5321700000002,699.9309,627.99115,650.6,573.7787,642.9472,603.0482,717.40216,684.7672
2017-11-18,693.1371,579.0064,633.4099,742.69104,628.8158599999998,644.9072,567.74255,753.9139,803.55475,665.92377,679.3737,599.6798,611.4806,737.4249,785.7464,780.8453400000002,779.6827400000002,738.4794,644.6222,674.9119999999998,804.7085599999998,651.6362,664.6702,734.2917
2017-11-19,799.95667,688.46606,697.41364,803.24677,714.5135,639.75916,529.38,587.01404,681.4901,583.59247,625.62445,787.988,752.4318,743.15216,885.2596,829.72736,774.76337,852.6184699999999,580.9785,778.1273,843.1611300000002,805.13837,856.51495,901.3045
2017-11-20,786.9518400000002,788.62573,689.03674,741.12396,703.5253,614.8819,618.9596,621.6512,606.8481400000002,694.72656,691.9145,686.5251,697.7831,754.29517,874.7971,856.53345,761.9584,720.5741,756.3759,726.5894,675.41437,625.0074,707.31287,750.55237
2017-11-21,794.1654,789.0324,769.0192,653.8313,622.6562,572.5209,757.22375,539.3619,579.4357,638.0151,674.46014,745.36835,684.3327,856.3517,727.9469,749.06836,789.7972,856.31506,830.4684,837.8182400000002,803.5608,817.29333,721.2380400000002,734.7829
2017-11-22,706.06635,698.5595,664.6619,698.95374,739.5425,655.22784,620.0818,534.73456,606.91925,600.8774400000002,563.8932,677.6616,745.03265,783.1765,834.2039,814.11194,775.2178,839.00037,709.84564,689.4464,658.574,577.91406,626.9315,657.9409
2017-11-23,711.36615,785.3164,699.86005,761.47156,688.7132,533.548,490.3306,514.38495,493.57678,576.3462,556.06396,674.11865,788.3825,794.4449,877.4035,753.0116,697.37335,595.9372,637.4581,646.22656,624.7386,573.72296,663.1207,690.4674
2017-11-24,730.90015,713.8179,582.75995,756.7825,673.2931,548.4877,450.86218,506.07022,494.2076,542.3618,533.5067,613.627,747.99335,776.84357,787.8244599999998,674.97485,658.23157,575.34106,645.9624,563.8896,608.8158,633.63745,705.83093,679.70734
2017-11-25,679.40814,709.42035,650.5652,648.7924,562.9309,535.3330000000002,558.4812599999998,479.9943,572.02734,537.2501,413.77972,569.25397,677.95667,807.3496,789.033,764.6509,749.4258,753.5209,813.33344,755.19415,719.90454,772.21063,774.57007,786.27344
2017-11-26,752.7838,670.8206,671.1394700000002,751.59424,658.323,553.5464,554.8202,585.3632,716.25555,602.0166,575.94775,596.1096,694.93085,748.6706,876.903,790.8546,760.78796,683.35876,645.3268,630.42535,610.4717400000002,580.5873,701.3935,685.18445
2017-11-27,793.4377,731.5514,652.34985,688.4003,640.09784,622.8369,628.0174599999998,567.27563,649.0529,747.6141,582.6127299999998,690.7317,696.8987400000002,760.30786,836.1737,796.3566,761.3552,762.7669,796.20886,756.41364,761.5078,725.6617,839.94495,748.30133
2017-11-28,758.38776,716.37134,739.3695,679.36896,641.6848,559.93475,547.1392,575.47015,628.0955,501.47687,646.9191,750.62,734.7204,719.8265,717.1039,671.9787,739.30444,777.03253,820.3032,750.76337,725.14923,778.7026400000002,706.1210000000002,778.3580000000002
2017-11-29,804.2069,639.68787,653.97906,642.16626,656.5157,609.3579,500.6425,499.11304,536.2496,567.4005,580.3967,628.6687,700.68884,729.55566,863.72955,786.38324,689.72003,787.9613,767.1610000000002,732.8009,788.43915,690.41785,788.86707,670.0106
2017-11-30,687.3871,742.4643,706.6246,719.7166,657.3991,599.73175,524.722,539.0639,587.0635,523.5632,597.62146,797.1745599999998,757.6261,761.0278,817.98865,786.70667,756.08966,737.7058,767.95667,714.5292400000002,764.3475,678.1565,657.7596,705.60834
2017-12-01,747.15454,740.6126,655.35406,743.7025,667.84515,647.8385599999998,625.01544,515.78394,575.22736,671.50464,688.8448,747.50995,756.05975,769.9455,798.39215,787.677,801.42664,719.6377,741.7158,685.4894400000002,701.2285,708.66364,710.7489,646.8819599999998
